scenario,planner,num_vehicles,seed,vehicle_id,success,plan_time_ms,path_length,nodes,start_error_m,goal_error_m,collision_free
road_open,astar,1,0,0,1,0.37190000875853,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,1,1,0,1,0.33239999902434647,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,1,2,0,1,0.3192999865859747,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,1,3,0,1,0.31609999132342637,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,1,4,0,1,0.3406000032555312,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,rrt,1,0,0,1,0.048999994760379195,164.05465485188952,1,0.0,0.0,1
road_open,rrt,1,1,0,1,0.04320000880397856,164.05465485188952,1,0.0,0.0,1
road_open,rrt,1,2,0,1,0.040300015825778246,164.05465485188952,1,0.0,0.0,1
road_open,rrt,1,3,0,1,0.03950000973418355,164.05465485188952,1,0.0,0.0,1
road_open,rrt,1,4,0,1,0.039399979868903756,164.05465485188952,1,0.0,0.0,1
road_open,rrt_star,1,0,0,1,411.4869999757502,166.0024579457363,1501,0.0,0.0,1
road_open,rrt_star,1,1,0,1,413.4759000153281,167.24537208360638,1501,0.0,0.0,1
road_open,rrt_star,1,2,0,1,411.81689998484217,169.00863346509087,1501,0.0,0.0,1
road_open,rrt_star,1,3,0,1,411.3999000110198,170.75226878970255,1501,0.0,0.0,1
road_open,rrt_star,1,4,0,1,422.5127999961842,169.87866356797457,1501,0.0,0.0,1
road_open,astar,5,0,0,1,0.3400999994482845,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,5,0,1,1,0.3284999984316528,234.298180800331,8,1.9999999999999998,0.0,1
road_open,astar,5,0,2,1,0.31800000579096377,233.67981675632547,8,1.9999999999999998,0.0,1
road_open,astar,5,0,3,1,0.31689999741502106,236.29122170444109,8,1.9999999999999998,0.0,1
road_open,astar,5,0,4,1,0.3893999964930117,233.8434788178314,8,1.9999999999999998,0.0,1
road_open,astar,5,1,0,1,0.3242999955546111,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,5,1,1,1,0.32789999386295676,234.298180800331,8,1.9999999999999998,0.0,1
road_open,astar,5,1,2,1,0.31800000579096377,233.67981675632547,8,1.9999999999999998,0.0,1
road_open,astar,5,1,3,1,0.36330000148154795,236.29122170444109,8,1.9999999999999998,0.0,1
road_open,astar,5,1,4,1,0.32190000638365746,233.8434788178314,8,1.9999999999999998,0.0,1
road_open,astar,5,2,0,1,0.31499998294748366,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,5,2,1,1,0.31549998675473034,234.298180800331,8,1.9999999999999998,0.0,1
road_open,astar,5,2,2,1,0.32240001019090414,233.67981675632547,8,1.9999999999999998,0.0,1
road_open,astar,5,2,3,1,0.31540001509711146,236.29122170444109,8,1.9999999999999998,0.0,1
road_open,astar,5,2,4,1,0.31259999377653,233.8434788178314,8,1.9999999999999998,0.0,1
road_open,astar,5,3,0,1,0.31209998996928334,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,5,3,1,1,0.3127999952994287,234.298180800331,8,1.9999999999999998,0.0,1
road_open,astar,5,3,2,1,0.3148999821860343,233.67981675632547,8,1.9999999999999998,0.0,1
road_open,astar,5,3,3,1,0.31510001281276345,236.29122170444109,8,1.9999999999999998,0.0,1
road_open,astar,5,3,4,1,0.3164999943692237,233.8434788178314,8,1.9999999999999998,0.0,1
road_open,astar,5,4,0,1,0.3144000074826181,232.02463496137946,8,0.1483794838706607,0.0,1
road_open,astar,5,4,1,1,0.31870001112110913,234.298180800331,8,1.9999999999999998,0.0,1
road_open,astar,5,4,2,1,0.31949998810887337,233.67981675632547,8,1.9999999999999998,0.0,1
road_open,astar,5,4,3,1,0.3157000173814595,236.29122170444109,8,1.9999999999999998,0.0,1
road_open,astar,5,4,4,1,0.3127999952994287,233.8434788178314,8,1.9999999999999998,0.0,1
road_open,rrt,5,0,0,1,0.04909999552182853,164.05465485188952,1,0.0,0.0,1
road_open,rrt,5,0,1,1,0.04049998824484646,164.27510353728505,1,0.0,0.0,1
road_open,rrt,5,0,2,1,0.03919997834600508,163.8407551334267,1,0.0,0.0,1
road_open,rrt,5,0,3,1,0.03940000897273421,165.66891173513739,1,0.0,0.0,1
road_open,rrt,5,0,4,1,0.03899997682310641,163.95402955434068,1,0.0,0.0,1
road_open,rrt,5,1,0,1,0.039700011257082224,164.05465485188952,1,0.0,0.0,1
road_open,rrt,5,1,1,1,0.039399979868903756,164.27510353728505,1,0.0,0.0,1
road_open,rrt,5,1,2,1,0.039300008211284876,163.8407551334267,1,0.0,0.0,1
road_open,rrt,5,1,3,1,0.03950000973418355,165.66891173513739,1,0.0,0.0,1
road_open,rrt,5,1,4,1,0.0391000066883862,163.95402955434068,1,0.0,0.0,1
road_open,rrt,5,2,0,1,0.04040001658722758,164.05465485188952,1,0.0,0.0,1
road_open,rrt,5,2,1,1,0.03960001049563289,164.27510353728505,1,0.0,0.0,1
road_open,rrt,5,2,2,1,0.03880000440403819,163.8407551334267,1,0.0,0.0,1
road_open,rrt,5,2,3,1,0.040099985199049115,165.66891173513739,1,0.0,0.0,1
road_open,rrt,5,2,4,1,0.03940000897273421,163.95402955434068,1,0.0,0.0,1
road_open,rrt,5,3,0,1,0.03969998215325177,164.05465485188952,1,0.0,0.0,1
road_open,rrt,5,3,1,1,0.040000013541430235,164.27510353728505,1,0.0,0.0,1
road_open,rrt,5,3,2,1,0.03929997910745442,163.8407551334267,1,0.0,0.0,1
road_open,rrt,5,3,3,1,0.039700011257082224,165.66891173513739,1,0.0,0.0,1
road_open,rrt,5,3,4,1,0.03890000516548753,163.95402955434068,1,0.0,0.0,1
road_open,rrt,5,4,0,1,0.03919997834600508,164.05465485188952,1,0.0,0.0,1
road_open,rrt,5,4,1,1,0.039300008211284876,164.27510353728505,1,0.0,0.0,1
road_open,rrt,5,4,2,1,0.039000005926936865,163.8407551334267,1,0.0,0.0,1
road_open,rrt,5,4,3,1,0.040399987483397126,165.66891173513739,1,0.0,0.0,1
road_open,rrt,5,4,4,1,0.0399000127799809,163.95402955434068,1,0.0,0.0,1
road_open,rrt_star,5,0,0,1,412.6125000184402,166.0024579457363,1501,0.0,0.0,1
road_open,rrt_star,5,0,1,1,417.5231000117492,166.2010884783812,1501,0.0,0.0,1
road_open,rrt_star,5,0,2,1,422.377700015204,166.02755148956638,1501,0.0,0.0,1
road_open,rrt_star,5,0,3,1,441.3384000072256,167.6393484064992,1501,0.0,0.0,1
road_open,rrt_star,5,0,4,1,494.0395999874454,166.1592788060671,1501,0.0,0.0,1
road_open,rrt_star,5,1,0,1,450.68219999666326,167.24537208360638,1501,0.0,0.0,1
road_open,rrt_star,5,1,1,1,437.69359998987056,167.18526990833237,1501,0.0,0.0,1
road_open,rrt_star,5,1,2,1,431.7755000083707,166.74671268082847,1501,0.0,0.0,1
road_open,rrt_star,5,1,3,1,423.05129999294877,169.07020523231694,1501,0.0,0.0,1
road_open,rrt_star,5,1,4,1,429.4272999977693,166.85735092288837,1501,0.0,0.0,1
road_open,rrt_star,5,2,0,1,437.418899993645,169.00863346509087,1501,0.0,0.0,1
